trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
95,False,"{'a': 0.35, 'e': 0.05953704166668651}",20,0,-36.62866725123565,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
96,False,"{'a': 0.35, 'e': 0.05942853472224206}",20,0,24.670341922341102,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
97,False,"{'a': 0.35, 'e': 0.05932225350213366}",20,0,-12.305461044351352,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
98,False,"{'a': 0.35, 'e': 0.059218130220167815}",20,10,13.78547630511107,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.35, 'e': 0.059116099815107105}",30,8,30.877305454595813,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.35, 'e': 0.0590160998151071}",25,0,11.292151846013843,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
101,False,"{'a': 0.35, 'e': 0.05891807021016641}",30,18,-16.346281028307935,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
102,False,"{'a': 0.35, 'e': 0.05882195333204261}",30,5,42.12168001489026,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.35, 'e': 0.05872769374112924}",20,12,15.095679991721262,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.35, 'e': 0.05863523811982747}",20,0,15.701408162017115,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
105,False,"{'a': 0.35, 'e': 0.05854453517198166}",25,19,10.61108764644854,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.35, 'e': 0.05845553552798024}",30,0,-91.06781552881795,"{0: 26, 1: 1, 2: 0, 3: 0, 4: 3}",0
107,False,"{'a': 0.35, 'e': 0.05836819165515292}",20,15,-32.608825642490146,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 1}",1
108,False,"{'a': 0.35, 'e': 0.05828245777312274}",25,0,35.41737797481398,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
109,False,"{'a': 0.35, 'e': 0.05819828977379608}",20,14,7.742096917251385,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.35, 'e': 0.058115645145696906}",25,13,17.643480567214066,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.35, 'e': 0.0580344829023725}",20,9,-60.75501434270344,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 2}",1
112,False,"{'a': 0.35, 'e': 0.0579547635146174}",25,0,24.139073135932087,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
113,False,"{'a': 0.35, 'e': 0.057876448846280015}",30,4,40.73679695810602,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.35, 'e': 0.057799502093432986}",20,8,19.49107849177202,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.35, 'e': 0.05772388772670331}",20,0,-37.69594173960662,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
116,False,"{'a': 0.35, 'e': 0.05764957143657251}",35,0,-46.488627212893675,"{0: 30, 1: 0, 2: 3, 3: 1, 4: 1}",0
117,False,"{'a': 0.35, 'e': 0.05757652008146987}",30,18,17.46386254917999,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.35, 'e': 0.057504701638493715}",35,9,-23.56129663264072,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 1}",1
119,False,"{'a': 0.35, 'e': 0.05743408515660684}",25,0,-22.723201656786767,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
120,False,"{'a': 0.35, 'e': 0.0573646407121624}",30,0,24.437453810716896,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
121,False,"{'a': 0.35, 'e': 0.05729633936662589}",30,12,20.967346549260956,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.35, 'e': 0.05722915312636789}",20,0,13.086828374935733,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
123,False,"{'a': 0.35, 'e': 0.057163054904410066}",25,14,8.494660278056717,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
124,False,"{'a': 0.35, 'e': 0.05709801848401464}",35,11,-91.35731636579384,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 3}",1
125,False,"{'a': 0.35, 'e': 0.05703401848401464}",20,6,18.888612655265447,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.35, 'e': 0.05697103032578839}",25,0,30.401290715550832,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
127,False,"{'a': 0.35, 'e': 0.05690903020178814}",20,9,7.041428622571237,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
128,False,"{'a': 0.35, 'e': 0.05684799504553814}",25,8,19.085395357543433,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.35, 'e': 0.056787902503022666}",25,0,35.84758132279349,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
130,False,"{'a': 0.35, 'e': 0.05672873090538953}",30,19,-4.541731867793002,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
131,False,"{'a': 0.35, 'e': 0.056670459242899}",25,11,6.026169365612264,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
132,False,"{'a': 0.35, 'e': 0.05661306714005235}",25,0,-6.529724481637239,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
133,False,"{'a': 0.35, 'e': 0.0565565348318382}",20,0,-18.58591719020366,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
134,False,"{'a': 0.35, 'e': 0.05650084314103847}",25,13,8.359536281014732,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
135,False,"{'a': 0.35, 'e': 0.05644597345653915}",30,13,29.075565993338614,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.35, 'e': 0.056391907712594516}",30,0,28.052706140921924,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
137,False,"{'a': 0.35, 'e': 0.05633862836899603}",20,14,12.569460002044478,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.35, 'e': 0.05628611839210042}",20,0,16.198725294550485,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
139,False,"{'a': 0.35, 'e': 0.05623436123667368}",25,8,17.69691240281074,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
140,False,"{'a': 0.35, 'e': 0.05618334082851041}",20,16,6.462026575076487,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.35, 'e': 0.05613304154779013}",20,0,-17.24661617066412,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
142,False,"{'a': 0.35, 'e': 0.0560834482131343}",20,15,8.876319979709308,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.35, 'e': 0.05603454606633006}",20,0,26.960097196650185,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
144,False,"{'a': 0.35, 'e': 0.055986320757688085}",30,0,33.407075763526514,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
145,False,"{'a': 0.35, 'e': 0.055938758332004374}",20,0,-25.812099898434614,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
146,False,"{'a': 0.35, 'e': 0.05589184521509689}",25,14,7.114087375106519,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.35, 'e': 0.055845568200889845}",35,10,40.07558406150734,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.35, 'e': 0.05579991443901987}",25,0,25.655473260528236,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
149,False,"{'a': 0.35, 'e': 0.055754871422939514}",30,20,21.205440106116253,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.35, 'e': 0.05571042697849507}",25,13,9.751798736222398,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
151,False,"{'a': 0.35, 'e': 0.05566656925295672}",25,2,28.00719253120001,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
152,False,"{'a': 0.35, 'e': 0.05562328670448026}",20,0,-128.44225165163692,"{0: 15, 1: 1, 2: 0, 3: 1, 4: 3}",0
153,False,"{'a': 0.35, 'e': 0.055580568091980795}",25,16,16.976410281916593,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.35, 'e': 0.05553840246539958}",25,0,19.18525042304671,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
155,False,"{'a': 0.35, 'e': 0.05549677915634651}",20,13,12.173219471461152,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.35, 'e': 0.05545568776910127}",30,13,24.27572980306756,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.35, 'e': 0.05541511817195737}",20,0,25.95486029337463,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
158,False,"{'a': 0.35, 'e': 0.05537506048889376}",20,0,29.13003646883992,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
159,False,"{'a': 0.35, 'e': 0.055335505091559795}",25,6,18.751393371836308,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
160,False,"{'a': 0.35, 'e': 0.055296442591559795}",20,13,13.770738653153998,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.35, 'e': 0.055257863833024244}",20,16,8.339313500581147,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.35, 'e': 0.05521975988545528}",20,12,11.881482780593787,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.35, 'e': 0.05518212203683471}",25,8,26.40787657179833,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.35, 'e': 0.05514494178698343}",25,13,10.434745195949695,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
165,False,"{'a': 0.35, 'e': 0.055108210841161576}",30,0,37.077300937676526,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
